x,y,z,type
-130.850105,6.892158,0.000000,PD-L1lo_tumor
-35.850511,-366.366648,0.000000,PD-L1lo_tumor
220.660580,280.914429,0.000000,PD-L1lo_tumor
-122.926573,287.071973,0.000000,PD-L1lo_tumor
238.705518,13.466076,0.000000,PD-L1lo_tumor
-249.789159,-143.810186,0.000000,PD-L1lo_tumor
-18.437351,302.017522,0.000000,PD-L1lo_tumor
107.141314,262.338402,0.000000,PD-L1lo_tumor
304.087367,45.971766,0.000000,PD-L1lo_tumor
25.210996,-298.788945,0.000000,PD-L1lo_tumor
115.117994,-84.281010,0.000000,PD-L1lo_tumor
31.483918,-284.855316,0.000000,PD-L1lo_tumor
266.189196,36.537422,0.000000,PD-L1lo_tumor
-327.500951,-208.370696,0.000000,PD-L1lo_tumor
-85.326107,198.449925,0.000000,PD-L1lo_tumor
160.849276,198.851764,0.000000,PD-L1lo_tumor
-20.789222,-278.613839,0.000000,PD-L1lo_tumor
160.519667,170.232232,0.000000,PD-L1lo_tumor
-140.748719,350.997421,0.000000,PD-L1lo_tumor
106.839196,303.806816,0.000000,PD-L1lo_tumor
-16.709653,66.133292,0.000000,PD-L1lo_tumor
120.521925,198.526207,0.000000,PD-L1lo_tumor
239.441118,-0.875495,0.000000,PD-L1lo_tumor
248.348459,-275.726207,0.000000,PD-L1lo_tumor
16.599608,52.870647,0.000000,PD-L1lo_tumor
364.918642,161.561082,0.000000,PD-L1lo_tumor
142.467214,283.898916,0.000000,PD-L1lo_tumor
-269.138839,21.197879,0.000000,PD-L1lo_tumor
-328.240787,-45.812736,0.000000,fixed_vessel_source
-297.553926,50.174544,0.000000,PD-L1lo_tumor
-900.300918,-318.899025,0.000000,fixed_vessel_source_compressed
185.571273,117.903562,0.000000,PD-L1lo_tumor
335.157353,-34.605786,0.000000,PD-L1lo_tumor
-33.249531,203.142409,0.000000,PD-L1lo_tumor
306.123443,205.218005,0.000000,PD-L1lo_tumor
-425.016458,331.004155,0.000000,fixed_vessel_source
-460.126688,-243.193011,0.000000,fixed_vessel_source
33.279860,123.768194,0.000000,PD-L1lo_tumor
44.822209,-256.062262,0.000000,PD-L1lo_tumor
-56.277474,378.845780,0.000000,PD-L1lo_tumor
-120.238269,-222.549783,0.000000,PD-L1lo_tumor
-280.347095,-202.417953,0.000000,PD-L1lo_tumor
122.459763,-151.678230,0.000000,PD-L1lo_tumor
-408.227025,-192.845993,0.000000,fixed_vessel_source
-198.225113,240.264830,0.000000,PD-L1lo_tumor
-42.546543,72.412772,0.000000,PD-L1lo_tumor
93.414650,-130.933529,0.000000,PD-L1lo_tumor
26.007862,-348.932851,0.000000,PD-L1lo_tumor
159.194674,-297.745773,0.000000,PD-L1lo_tumor
287.655588,167.121016,0.000000,PD-L1lo_tumor
248.485251,159.768725,0.000000,PD-L1lo_tumor
-175.672783,-371.970779,0.000000,fixed_vessel_source
61.225136,344.187603,0.000000,PD-L1lo_tumor
-187.145391,-124.131744,0.000000,PD-L1lo_tumor
315.030206,137.550457,0.000000,PD-L1lo_tumor
-157.126626,-27.566100,0.000000,PD-L1lo_tumor
-297.386135,-70.619728,0.000000,PD-L1lo_tumor
-367.171098,-156.247341,0.000000,PD-L1lo_tumor
-160.523517,-159.742487,0.000000,PD-L1lo_tumor
301.384077,-108.095091,0.000000,PD-L1lo_tumor
-239.179736,-94.582991,0.000000,PD-L1lo_tumor
-24.833271,-226.664866,0.000000,PD-L1lo_tumor
261.238866,-250.435884,0.000000,PD-L1lo_tumor
199.900929,119.157994,0.000000,PD-L1lo_tumor
302.908872,-93.001266,0.000000,PD-L1lo_tumor
-29.839640,-111.737895,0.000000,PD-L1lo_tumor
25.604901,41.078079,0.000000,PD-L1lo_tumor
278.298841,-153.460516,0.000000,PD-L1lo_tumor
46.487985,-83.640282,0.000000,PD-L1lo_tumor
183.126452,-17.521245,0.000000,PD-L1lo_tumor
-247.697436,231.701718,0.000000,PD-L1lo_tumor
204.751230,-40.420910,0.000000,PD-L1lo_tumor
183.990187,-0.021243,0.000000,PD-L1lo_tumor
-457.911327,-76.630622,0.000000,fixed_vessel_source_compressed
147.466100,-183.990281,0.000000,PD-L1lo_tumor
-41.693682,-28.360859,0.000000,PD-L1lo_tumor
-108.235523,-172.641896,0.000000,PD-L1lo_tumor
-177.166376,92.242174,0.000000,fixed_vessel_source_compressed
287.243635,123.505641,0.000000,PD-L1lo_tumor
-135.439333,-7.782857,0.000000,PD-L1lo_tumor
-33.468754,-238.239161,0.000000,PD-L1lo_tumor
11.611465,6.715612,0.000000,PD-L1lo_tumor
67.208670,295.490258,0.000000,PD-L1lo_tumor
101.434778,-60.233271,0.000000,PD-L1lo_tumor
-502.082308,-109.323410,0.000000,fixed_vessel_source_compressed
-636.166518,352.067112,0.000000,fixed_vessel_source
-250.927548,-260.104581,0.000000,PD-L1lo_tumor
92.400874,86.288591,0.000000,PD-L1lo_tumor
-297.596848,174.404875,0.000000,PD-L1lo_tumor
17.250864,-280.260437,0.000000,PD-L1lo_tumor
25.926032,14.560874,0.000000,PD-L1lo_tumor
-32.785218,156.489493,0.000000,PD-L1lo_tumor
-120.198965,48.021010,0.000000,PD-L1lo_tumor
100.320601,149.913032,0.000000,fixed_vessel_source_compressed
112.565882,-367.611661,0.000000,PD-L1lo_tumor
-138.392102,267.749627,0.000000,PD-L1lo_tumor
137.318797,-125.084849,0.000000,PD-L1lo_tumor
27.126418,97.246807,0.000000,PD-L1lo_tumor
-261.589628,-42.468102,0.000000,PD-L1lo_tumor
-347.409872,-172.872041,0.000000,PD-L1lo_tumor
-19.715384,-202.255486,0.000000,PD-L1lo_tumor
-143.174098,307.247348,0.000000,PD-L1lo_tumor
13.935777,200.639173,0.000000,PD-L1lo_tumor
192.609825,41.501814,0.000000,PD-L1lo_tumor
-260.347956,-180.547986,0.000000,PD-L1lo_tumor
-169.440342,-51.448734,0.000000,PD-L1lo_tumor
-167.394621,187.620682,0.000000,PD-L1lo_tumor
91.617398,179.842474,0.000000,PD-L1lo_tumor
-71.750235,-325.157559,0.000000,PD-L1lo_tumor
-120.131122,-301.826956,0.000000,PD-L1lo_tumor
94.218816,103.034559,0.000000,PD-L1lo_tumor
-2.902384,428.738317,0.000000,PD-L1lo_tumor
-253.440335,23.806591,0.000000,PD-L1lo_tumor
-190.912522,128.465948,0.000000,PD-L1lo_tumor
391.041393,224.840416,0.000000,fixed_vessel_source
-389.854292,-72.536954,0.000000,PD-L1lo_tumor
-40.609594,-224.934844,0.000000,PD-L1lo_tumor
168.883768,-22.635587,0.000000,PD-L1lo_tumor
-24.749229,327.767831,0.000000,PD-L1lo_tumor
-244.995240,106.969902,0.000000,PD-L1lo_tumor
-811.807894,-272.326666,0.000000,fixed_vessel_source_compressed
45.990897,-98.589734,0.000000,PD-L1lo_tumor
-585.220988,-199.511899,0.000000,fixed_vessel_source
-201.304140,455.859968,0.000000,fixed_vessel_source
10.985561,-239.668450,0.000000,PD-L1lo_tumor
-364.864374,20.809906,0.000000,PD-L1lo_tumor
311.950121,-139.510513,0.000000,PD-L1lo_tumor
126.374913,289.785032,0.000000,PD-L1lo_tumor
144.994138,243.155218,0.000000,fixed_vessel_source_compressed
224.881915,-73.776382,0.000000,PD-L1lo_tumor
16.220077,233.286166,0.000000,PD-L1lo_tumor
115.928493,-53.548577,0.000000,PD-L1lo_tumor
21.346440,-157.791947,0.000000,PD-L1lo_tumor
-363.200808,-73.894471,0.000000,PD-L1lo_tumor
-167.735227,109.402549,0.000000,PD-L1lo_tumor
114.474386,-68.672637,0.000000,PD-L1lo_tumor
172.103600,-310.104837,0.000000,PD-L1lo_tumor
189.268538,-173.285887,0.000000,PD-L1lo_tumor
192.953385,-125.599997,0.000000,PD-L1lo_tumor
19.760537,-362.300949,0.000000,PD-L1lo_tumor
-386.798315,58.558642,0.000000,PD-L1lo_tumor
93.911795,326.018898,0.000000,PD-L1lo_tumor
16.186389,-387.995205,0.000000,PD-L1lo_tumor
140.177892,230.312044,0.000000,PD-L1lo_tumor
297.151281,-155.359534,0.000000,PD-L1lo_tumor
314.822079,121.993803,0.000000,PD-L1lo_tumor
301.547114,144.947539,0.000000,PD-L1lo_tumor
145.255098,-235.175474,0.000000,PD-L1lo_tumor
-348.271734,76.591528,0.000000,PD-L1lo_tumor
-86.190718,70.460236,0.000000,PD-L1lo_tumor
-158.729066,142.994756,0.000000,PD-L1lo_tumor
275.235895,75.689616,0.000000,PD-L1lo_tumor
217.001317,-174.558502,0.000000,PD-L1lo_tumor
87.238861,-208.142998,0.000000,PD-L1lo_tumor
194.893940,105.257478,0.000000,PD-L1lo_tumor
122.733101,-379.326278,0.000000,PD-L1lo_tumor
94.489713,210.709865,0.000000,PD-L1lo_tumor
-186.974486,-171.856859,0.000000,PD-L1lo_tumor
63.011425,79.227745,0.000000,PD-L1lo_tumor
165.116304,-61.573933,0.000000,PD-L1lo_tumor
188.368598,14.291445,0.000000,PD-L1lo_tumor
-149.129054,218.871713,0.000000,PD-L1lo_tumor
-282.283043,52.232268,0.000000,PD-L1lo_tumor
-224.407689,17.321209,0.000000,PD-L1lo_tumor
-108.646337,-157.165944,0.000000,PD-L1lo_tumor
-111.198796,121.271085,0.000000,PD-L1lo_tumor
-254.671567,197.887386,0.000000,PD-L1lo_tumor
107.216582,205.220569,0.000000,PD-L1lo_tumor
-96.045872,-236.805144,0.000000,PD-L1lo_tumor
561.839223,35.043515,0.000000,fixed_vessel_source
218.611090,-158.804419,0.000000,PD-L1lo_tumor
69.954812,246.333658,0.000000,PD-L1lo_tumor
21.132268,-120.106311,0.000000,PD-L1lo_tumor
-120.318536,-165.403191,0.000000,PD-L1lo_tumor
-132.309410,-171.450305,0.000000,PD-L1lo_tumor
51.140420,-184.100795,0.000000,PD-L1lo_tumor
354.066079,10.572554,0.000000,PD-L1lo_tumor
191.062801,131.087874,0.000000,PD-L1lo_tumor
209.351935,106.555463,0.000000,PD-L1lo_tumor
206.992655,38.022473,0.000000,PD-L1lo_tumor
-19.773017,-154.720162,0.000000,PD-L1lo_tumor
363.248885,177.114618,0.000000,PD-L1lo_tumor
348.892539,183.325720,0.000000,PD-L1lo_tumor
139.304504,-494.892710,0.000000,fixed_vessel_source
323.395262,-25.321756,0.000000,PD-L1lo_tumor
-484.361801,-194.086186,0.000000,fixed_vessel_source
-33.261042,218.960409,0.000000,fixed_vessel_source_compressed
274.335829,143.592608,0.000000,PD-L1lo_tumor
-270.572172,197.090003,0.000000,PD-L1lo_tumor
288.265317,137.616347,0.000000,PD-L1lo_tumor
351.757634,-37.157768,0.000000,PD-L1lo_tumor
-38.343807,-298.253753,0.000000,PD-L1lo_tumor
-161.066018,-364.531423,0.000000,PD-L1lo_tumor
188.419833,145.979984,0.000000,PD-L1lo_tumor
-104.893839,-301.208297,0.000000,PD-L1lo_tumor
289.209951,41.901740,0.000000,PD-L1lo_tumor
187.448380,187.880287,0.000000,PD-L1lo_tumor
-199.814190,141.284368,0.000000,PD-L1lo_tumor
69.768024,355.805254,0.000000,PD-L1lo_tumor
107.781329,-248.650876,0.000000,PD-L1lo_tumor
-165.839378,53.713493,0.000000,PD-L1lo_tumor
-49.614854,-16.112301,0.000000,PD-L1lo_tumor
27.815181,-445.740711,0.000000,fixed_vessel_source
286.799931,65.209901,0.000000,PD-L1lo_tumor
-120.881792,-245.512960,0.000000,PD-L1lo_tumor
-106.011911,-203.154257,0.000000,PD-L1lo_tumor
177.566579,177.721393,0.000000,PD-L1lo_tumor
-332.630752,128.593573,0.000000,PD-L1lo_tumor
377.539551,170.436550,0.000000,PD-L1lo_tumor
-3.534249,306.530074,0.000000,PD-L1lo_tumor
-195.930221,22.560061,0.000000,fixed_vessel_source_compressed
-181.078151,116.496628,0.000000,PD-L1lo_tumor
269.669155,-19.676345,0.000000,PD-L1lo_tumor
-237.568130,-179.835122,0.000000,PD-L1lo_tumor
-80.475792,56.043034,0.000000,PD-L1lo_tumor
-462.548127,-96.086388,0.000000,fixed_vessel_source
-112.222424,-315.280996,0.000000,PD-L1lo_tumor
-196.717683,-37.584745,0.000000,PD-L1lo_tumor
-141.066935,207.411512,0.000000,PD-L1lo_tumor
67.506786,-153.867207,0.000000,PD-L1lo_tumor
-342.136631,-10.171279,0.000000,PD-L1lo_tumor
4.799957,-359.090777,0.000000,PD-L1lo_tumor
-185.750101,-338.497384,0.000000,fixed_vessel_source
-353.961122,-20.149474,0.000000,PD-L1lo_tumor
50.825721,28.367448,0.000000,PD-L1lo_tumor
-92.824007,2.381569,0.000000,PD-L1lo_tumor
-76.863511,260.363656,0.000000,PD-L1lo_tumor
48.389407,124.122726,0.000000,PD-L1lo_tumor
220.042342,-143.486153,0.000000,PD-L1lo_tumor
-397.437074,-232.047103,0.000000,fixed_vessel_source
255.794468,-20.405953,0.000000,PD-L1lo_tumor
-520.683418,219.380024,0.000000,fixed_vessel_source
218.692521,44.950807,0.000000,PD-L1lo_tumor
167.448851,281.193910,0.000000,PD-L1lo_tumor
-194.659721,172.110094,0.000000,PD-L1lo_tumor
310.126773,-182.432309,0.000000,PD-L1lo_tumor
53.782858,369.467759,0.000000,PD-L1lo_tumor
-208.949065,-4.641524,0.000000,PD-L1lo_tumor
38.443489,296.496617,0.000000,PD-L1lo_tumor
298.466629,91.438952,0.000000,PD-L1lo_tumor
