time_min,live_count,divisions_this_interval,deaths_this_interval,net_this_interval
0,1000,0,0,0
60,988,10,22,-12
120,964,0,24,-24
180,943,1,22,-21
240,926,0,17,-17
300,912,0,14,-14
360,894,0,18,-18
420,875,0,19,-19
480,854,0,21,-21
540,840,1,15,-14
600,826,0,14,-14
660,818,1,9,-8
720,802,1,17,-16
780,795,1,8,-7
840,785,0,10,-10
900,773,0,12,-12
960,767,1,7,-6
1020,756,0,11,-11
1080,747,2,11,-9
1140,736,0,11,-11
1200,725,0,11,-11
1260,720,3,8,-5
1320,718,1,3,-2
1380,704,1,15,-14
1440,691,0,13,-13
1500,686,1,6,-5
1560,684,2,4,-2
1620,681,3,6,-3
1680,675,1,7,-6
1740,665,0,10,-10
1800,656,0,9,-9
1860,653,1,4,-3
1920,648,0,5,-5
1980,642,1,7,-6
2040,636,0,6,-6
2100,632,1,5,-4
2160,625,1,8,-7
2220,622,2,5,-3
2280,619,0,3,-3
2340,617,0,2,-2
2400,611,3,9,-6
2460,611,1,1,0
2520,607,1,5,-4
2580,603,1,5,-4
2640,597,0,6,-6
2700,593,0,4,-4
2760,590,1,4,-3
2820,588,1,3,-2
2880,585,2,5,-3
2940,580,0,5,-5
3000,579,4,5,-1
3060,576,1,4,-3
3120,571,0,5,-5
3180,571,5,5,0
3240,569,2,4,-2
3300,566,0,3,-3
3360,564,1,3,-2
3420,564,2,2,0
3480,563,2,3,-1
3540,560,3,6,-3
3600,556,1,5,-4
3660,553,2,5,-3
3720,551,1,3,-2
3780,551,3,3,0
3840,550,2,3,-1
3900,548,0,2,-2
3960,552,6,2,4
4020,547,1,6,-5
4080,545,2,4,-2
4140,543,2,4,-2
4200,543,3,3,0
4260,541,2,4,-2
4320,535,2,8,-6
4380,532,2,5,-3
4440,530,4,6,-2
4500,526,4,8,-4
4560,520,1,7,-6
4620,521,1,0,1
4680,519,1,3,-2
4740,517,2,4,-2
4800,514,1,4,-3
4860,510,0,4,-4
4920,513,6,3,3
4980,513,1,1,0
5040,511,2,4,-2
5100,506,1,6,-5
5160,500,2,8,-6
5220,498,2,4,-2
5280,495,0,3,-3
5340,491,1,5,-4
5400,487,2,6,-4
5460,483,2,6,-4
5520,485,3,1,2
5580,485,3,3,0
5640,490,7,2,5
5700,488,3,5,-2
5760,489,4,3,1
5820,490,3,2,1
5880,492,4,2,2
5940,489,1,4,-3
6000,485,0,4,-4
6060,483,0,2,-2
6120,481,2,4,-2
6180,483,4,2,2
6240,482,3,4,-1
6300,482,2,2,0
6360,485,5,2,3
6420,485,5,5,0
6480,485,2,2,0
6540,485,5,5,0
6600,480,1,6,-5
6660,482,4,2,2
6720,483,4,3,1
6780,482,1,2,-1
6840,480,0,2,-2
6900,477,3,6,-3
6960,477,3,3,0
7020,473,4,8,-4
7080,476,3,0,3
7140,481,6,1,5
7200,481,2,2,0
7260,479,1,3,-2
7320,480,4,3,1
7380,482,3,1,2
7440,480,2,4,-2
7500,478,1,3,-2
7560,478,4,4,0
7620,474,0,4,-4
7680,471,0,3,-3
7740,470,2,3,-1
7800,469,2,3,-1
7860,469,2,2,0
7920,471,3,1,2
7980,468,1,4,-3
8040,466,1,3,-2
8100,465,1,2,-1
8160,465,5,5,0
8220,457,1,9,-8
8280,462,6,1,5
8340,462,2,2,0
8400,467,7,2,5
8460,465,4,6,-2
8520,461,0,4,-4
8580,459,2,4,-2
8640,460,3,2,1
8700,460,2,2,0
8760,458,3,5,-2
8820,459,3,2,1
8880,455,4,8,-4
8940,458,8,5,3
9000,462,5,1,4
9060,460,4,6,-2
9120,459,1,2,-1
9180,460,7,6,1
9240,458,0,2,-2
9300,461,5,2,3
9360,464,5,2,3
9420,464,2,2,0
9480,465,5,4,1
9540,465,5,5,0
9600,462,2,5,-3
9660,459,3,6,-3
9720,461,5,3,2
9780,458,2,5,-3
9840,458,2,2,0
9900,455,0,3,-3
9960,455,1,1,0
10020,458,4,1,3
10080,459,4,3,1
10140,457,3,5,-2
10200,454,3,6,-3
10260,452,2,4,-2
10320,446,1,7,-6
10380,445,1,2,-1
10440,448,6,3,3
10500,445,3,6,-3
10560,443,0,2,-2
10620,441,3,5,-2
10680,442,3,2,1
10740,437,2,7,-5
10800,437,4,4,0
10860,438,5,4,1
10920,439,4,3,1
10980,438,5,6,-1
11040,435,0,3,-3
11100,433,2,4,-2
11160,434,3,2,1
11220,428,2,8,-6
11280,427,4,5,-1
11340,425,1,3,-2
11400,423,1,3,-2
11460,426,6,3,3
11520,425,4,5,-1
11580,419,0,6,-6
11640,418,2,3,-1
11700,415,0,3,-3
11760,409,1,7,-6
11820,409,2,2,0
11880,408,3,4,-1
11940,407,1,2,-1
12000,405,1,3,-2
12060,405,3,3,0
12120,399,3,9,-6
12180,397,1,3,-2
12240,396,2,3,-1
12300,397,1,0,1
12360,394,2,5,-3
12420,395,2,1,1
12480,394,3,4,-1
12540,393,4,5,-1
12600,390,1,4,-3
12660,391,4,3,1
12720,394,5,2,3
12780,392,1,3,-2
12840,391,3,4,-1
12900,392,3,2,1
12960,393,4,3,1
13020,392,3,4,-1
13080,393,2,1,1
13140,393,1,1,0
13200,394,3,2,1
13260,396,5,3,2
13320,399,5,2,3
13380,403,4,0,4
13440,400,2,5,-3
13500,404,6,2,4
13560,410,6,0,6
13620,409,6,7,-1
13680,408,4,5,-1
13740,399,2,11,-9
13800,401,5,3,2
13860,398,3,6,-3
13920,397,1,2,-1
13980,397,3,3,0
14040,400,4,1,3
14100,401,2,1,1
14160,400,1,2,-1
14220,398,1,3,-2
14280,394,1,5,-4
14340,392,2,4,-2
14400,384,0,8,-8
14460,383,1,2,-1
14520,380,3,6,-3
14580,380,5,5,0
14640,379,3,4,-1
14700,378,2,3,-1
14760,374,1,5,-4
14820,374,2,2,0
14880,370,0,4,-4
14940,370,2,2,0
15000,368,1,3,-2
15060,372,5,1,4
15120,374,8,6,2
15180,378,6,2,4
15240,379,3,2,1
15300,384,8,3,5
15360,383,2,3,-1
15420,381,2,4,-2
15480,378,3,6,-3
15540,378,2,2,0
15600,381,3,0,3
15660,379,3,5,-2
15720,379,2,2,0
15780,381,4,2,2
15840,380,2,3,-1
15900,381,4,3,1
15960,377,2,6,-4
16020,373,2,6,-4
16080,371,3,5,-2
16140,368,2,5,-3
16200,368,2,2,0
16260,372,5,1,4
16320,374,4,2,2
16380,378,5,1,4
16440,376,4,6,-2
16500,376,2,2,0
16560,377,5,4,1
16620,376,4,5,-1
16680,373,3,6,-3
16740,374,4,3,1
16800,373,3,4,-1
16860,378,6,1,5
16920,378,4,4,0
16980,379,3,2,1
17040,381,4,2,2
17100,377,1,5,-4
17160,374,2,5,-3
17220,368,0,6,-6
17280,367,3,4,-1
17340,365,5,7,-2
17400,365,2,2,0
17460,367,3,1,2
17520,367,4,4,0
17580,364,2,5,-3
17640,361,1,4,-3
17700,363,5,3,2
17760,364,3,2,1
17820,366,4,2,2
17880,363,1,4,-3
17940,362,3,4,-1
18000,362,1,1,0
18060,364,4,2,2
18120,363,2,3,-1
18180,367,4,0,4
18240,363,2,6,-4
18300,363,1,1,0
18360,365,3,1,2
18420,363,2,4,-2
18480,365,3,1,2
18540,365,2,2,0
18600,368,5,2,3
18660,370,4,2,2
18720,366,1,5,-4
18780,364,1,3,-2
18840,363,3,4,-1
18900,362,1,2,-1
18960,361,2,3,-1
19020,358,4,7,-3
19080,361,6,3,3
19140,359,3,5,-2
19200,358,0,1,-1
19260,360,4,2,2
19320,357,0,3,-3
19380,359,4,2,2
19440,362,4,1,3
19500,358,2,6,-4
19560,354,1,5,-4
19620,357,4,1,3
19680,357,1,1,0
19740,354,1,4,-3
19800,354,4,4,0
19860,352,4,6,-2
19920,353,3,2,1
19980,353,3,3,0
20040,349,5,9,-4
20100,350,4,3,1
