time_min,live_count,divisions_this_interval,deaths_this_interval,net_this_interval
0,894,0,0,0
60,900,10,4,6
120,889,3,14,-11
180,884,5,10,-5
240,886,9,7,2
300,884,4,6,-2
360,878,1,7,-6
420,873,3,8,-5
480,865,2,10,-8
540,864,4,5,-1
600,862,2,4,-2
660,861,3,4,-1
720,861,6,6,0
780,864,6,3,3
840,863,3,4,-1
900,863,2,2,0
960,857,1,7,-6
1020,853,3,7,-4
1080,850,4,7,-3
1140,846,3,7,-4
1200,845,2,3,-1
1260,846,5,4,1
1320,835,1,12,-11
1380,830,4,9,-5
1440,828,2,4,-2
1500,819,2,11,-9
1560,818,4,5,-1
1620,817,7,8,-1
1680,815,3,5,-2
1740,815,4,4,0
1800,813,3,5,-2
1860,809,5,9,-4
1920,811,7,5,2
1980,809,4,6,-2
2040,808,4,5,-1
2100,807,4,5,-1
2160,804,2,5,-3
2220,803,5,6,-1
2280,802,4,5,-1
2340,801,4,5,-1
2400,802,3,2,1
2460,796,1,7,-6
2520,797,5,4,1
2580,802,10,5,5
2640,799,2,5,-3
2700,802,5,2,3
2760,803,3,2,1
2820,801,2,4,-2
2880,798,2,5,-3
2940,798,6,6,0
3000,798,2,2,0
3060,796,3,5,-2
3120,796,6,6,0
3180,792,4,8,-4
3240,796,5,1,4
3300,792,0,4,-4
3360,792,3,3,0
3420,789,2,5,-3
3480,789,3,3,0
3540,793,7,3,4
3600,789,0,4,-4
3660,786,4,7,-3
3720,792,7,1,6
3780,792,3,3,0
3840,796,6,2,4
3900,799,6,3,3
3960,800,7,6,1
4020,804,6,2,4
4080,806,7,5,2
4140,805,5,6,-1
4200,805,4,4,0
4260,806,4,3,1
4320,805,3,4,-1
4380,808,5,2,3
4440,811,5,2,3
4500,810,5,6,-1
4560,809,3,4,-1
4620,808,4,5,-1
4680,806,3,5,-2
4740,807,5,4,1
4800,806,2,3,-1
4860,805,7,8,-1
4920,806,5,4,1
4980,805,6,7,-1
5040,808,5,2,3
5100,808,7,7,0
5160,810,7,5,2
5220,811,3,2,1
5280,814,7,4,3
5340,817,7,4,3
5400,810,2,9,-7
5460,811,3,2,1
5520,816,7,2,5
5580,820,4,0,4
5640,818,2,4,-2
5700,820,5,3,2
5760,820,6,6,0
5820,819,4,5,-1
5880,813,2,8,-6
5940,812,2,3,-1
6000,810,1,3,-2
6060,810,3,3,0
6120,814,4,0,4
6180,812,4,6,-2
6240,809,6,9,-3
6300,814,6,1,5
6360,817,3,0,3
6420,817,3,3,0
6480,815,6,8,-2
6540,815,6,6,0
6600,818,5,2,3
6660,822,6,2,4
6720,821,3,4,-1
6780,818,4,7,-3
6840,818,1,1,0
6900,820,4,2,2
6960,825,8,3,5
7020,830,8,3,5
7080,827,3,6,-3
7140,835,10,2,8
7200,836,7,6,1
7260,840,7,3,4
7320,839,5,6,-1
7380,844,7,2,5
7440,844,4,4,0
7500,840,5,9,-4
7560,844,5,1,4
7620,843,5,6,-1
7680,838,2,7,-5
7740,840,5,3,2
7800,846,6,0,6
7860,848,5,3,2
7920,845,3,6,-3
7980,847,4,2,2
8040,847,1,1,0
8100,847,4,4,0
8160,846,6,7,-1
8220,845,3,4,-1
8280,840,2,7,-5
8340,842,5,3,2
8400,847,6,1,5
8460,851,7,3,4
8520,856,5,0,5
8580,857,3,2,1
8640,863,8,2,6
8700,867,5,1,4
8760,870,6,3,3
8820,876,7,1,6
8880,880,5,1,4
8940,883,7,4,3
9000,882,8,9,-1
9060,880,3,5,-2
9120,881,5,4,1
9180,884,7,4,3
9240,881,2,5,-3
9300,881,6,6,0
9360,881,3,3,0
9420,882,4,3,1
9480,886,7,3,4
9540,889,7,4,3
9600,892,5,2,3
9660,891,2,3,-1
9720,892,4,3,1
9780,895,6,3,3
9840,900,5,0,5
9900,902,3,1,2
9960,902,3,3,0
10020,905,6,3,3
10080,910,6,1,5
10140,910,7,7,0
10200,907,3,6,-3
10260,913,9,3,6
10320,916,5,2,3
10380,917,8,7,1
10440,914,3,6,-3
10500,910,5,9,-4
10560,913,5,2,3
10620,912,6,7,-1
10680,915,4,1,3
10740,919,6,2,4
10800,921,6,4,2
10860,920,6,7,-1
10920,921,7,6,1
10980,919,3,5,-2
11040,921,5,3,2
11100,922,6,5,1
11160,925,8,5,3
11220,927,7,5,2
11280,927,3,3,0
11340,930,10,7,3
11400,931,4,3,1
11460,933,6,4,2
11520,930,2,5,-3
11580,930,5,5,0
11640,930,5,5,0
11700,929,3,4,-1
11760,928,2,3,-1
11820,931,5,2,3
11880,928,2,5,-3
11940,935,7,0,7
12000,933,1,3,-2
12060,930,1,4,-3
12120,937,9,2,7
12180,942,8,3,5
12240,942,0,0,0
12300,945,6,3,3
12360,947,4,2,2
12420,947,3,3,0
12480,946,3,4,-1
12540,945,5,6,-1
12600,949,6,2,4
12660,949,5,5,0
12720,948,2,3,-1
12780,949,4,3,1
12840,950,6,5,1
12900,951,4,3,1
12960,944,4,11,-7
13020,941,4,7,-3
13080,940,6,7,-1
13140,937,5,8,-3
13200,942,8,3,5
13260,942,2,2,0
13320,942,4,4,0
13380,940,4,6,-2
13440,942,6,4,2
13500,945,8,5,3
13560,946,4,3,1
13620,945,5,6,-1
13680,946,5,4,1
13740,944,4,6,-2
13800,947,5,2,3
13860,949,4,2,2
13920,950,6,5,1
13980,950,3,3,0
14040,950,4,4,0
14100,948,5,7,-2
14160,947,5,6,-1
14220,952,10,5,5
14280,953,5,4,1
14340,952,2,3,-1
14400,949,3,6,-3
14460,946,6,9,-3
14520,948,4,2,2
14580,946,6,8,-2
14640,944,4,6,-2
14700,948,7,3,4
14760,954,9,3,6
14820,960,8,2,6
14880,962,4,2,2
14940,965,6,3,3
15000,966,3,2,1
15060,970,7,3,4
15120,973,8,5,3
15180,977,9,5,4
15240,983,7,1,6
15300,983,3,3,0
15360,987,7,3,4
15420,994,10,3,7
15480,995,7,6,1
15540,999,6,2,4
15600,1002,9,6,3
15660,1004,6,4,2
15720,1003,5,6,-1
15780,1011,10,2,8
15840,1012,8,7,1
15900,1015,8,5,3
15960,1019,6,2,4
16020,1018,4,5,-1
16080,1019,8,7,1
16140,1017,4,6,-2
16200,1019,6,4,2
16260,1020,6,5,1
16320,1022,10,8,2
16380,1023,4,3,1
16440,1023,5,5,0
16500,1021,3,5,-2
16560,1018,3,6,-3
16620,1021,7,4,3
